loss_total,loss_rx,loss_ry,loss_div,loss_bc,loss_pressure_gauge,stage,epoch,closure_call
7.624249266325954,5.014562606699015e-06,4.8502408750767565e-05,9.974774863337604e-37,0.25413975645624054,3.0556673803573514e-05,adam,1.0,
7.281215004393836,3.47125595976492e-06,1.6622032898535483e-05,1.3679933057129454e-36,0.24270646634489715,9.20758062657458e-06,adam,2.0,
6.962999947513061,2.233280873306592e-06,2.9006867579540303e-06,2.1631917241572064e-36,0.2320998238170662,9.903344327003188e-07,adam,3.0,
6.665326624266344,1.3443397539839083e-06,4.2090698750377135e-06,2.9487981086987575e-36,0.22217736688151443,6.441128136195521e-07,adam,4.0,
6.387974731462771,8.865665939219286e-07,1.8087937803964942e-05,4.504776470995203e-36,0.21293184183253017,5.019824683532032e-06,adam,5.0,
6.128823405369053,7.179467901327603e-07,3.9023261265839464e-05,8.568977659302212e-36,0.20429275597936644,9.847800035582937e-06,adam,6.0,
5.900386686285362,7.296057886396632e-07,6.0478417752735954e-05,1.237898994918741e-35,0.1966774753752692,1.2170037446589671e-05,adam,7.0,
5.7112366858916905,7.027741830882984e-07,8.231355995473023e-05,1.4266551757963807e-35,0.19037175076092855,1.1467296958587695e-05,adam,8.0,
5.579285149243954,8.29921395643804e-07,9.892922912595972e-05,2.4157631423522867e-35,0.1859728186737988,8.298794682403308e-06,adam,9.0,
5.520430921565092,1.0123697437231113e-06,0.00010726462516800567,3.868185154318692e-35,0.1840107419003905,3.875584662621776e-06,adam,10.0,
5.53174317663353,1.1618553795901197e-06,0.00010229160809547239,4.510287188511858e-35,0.18438798956718014,3.615465110790465e-07,adam,11.0,
5.585022173554929,1.2053019605358816e-06,8.216511339762167e-05,4.611398510592188e-35,0.18616462197836875,1.4378850854500496e-06,adam,12.0,
5.6329418512573755,9.839615662312596e-07,5.2254362630696384e-05,4.683620883506709e-35,0.1877629191543379,1.0383030409039882e-05,adam,13.0,
5.629912663442252,6.327482774966802e-07,2.2379049741212028e-05,4.924362126555114e-35,0.18766289924262836,2.6743653824340776e-05,adam,14.0,
5.575759908076783,6.103183819943406e-07,3.6442315356633813e-06,4.947721550294655e-35,0.18585836695836958,4.64477577853246e-05,adam,15.0,
5.4973218649013145,1.536814518432661e-06,1.5342189056721843e-06,4.651158431514401e-35,0.18324374532722287,6.434051204586729e-05,adam,16.0,
5.3853504697106125,3.486016651591895e-06,1.4342950349877155e-05,4.423394646099075e-35,0.1795108342773253,7.612423851978627e-05,adam,17.0,
5.316838261073406,6.4719847049292295e-06,3.503495373054598e-05,3.9582656374109054e-35,0.17722629230370077,7.985023948123674e-05,adam,18.0,
5.2640879191100085,1.0116030056640471e-05,5.650077425399244e-05,3.528429671111824e-35,0.1754671230800588,7.609903934333757e-05,adam,19.0,
5.214216890449193,1.344007357680348e-05,7.489601659369011e-05,2.5141191056742886e-35,0.1738040610389647,6.723190080837561e-05,adam,20.0,
5.189329280075002,1.6561227322938633e-05,8.741092777493293e-05,2.2452200098653689e-35,0.17297399051021672,5.5926134022374395e-05,adam,21.0,
5.178453178335154,1.9464769374553686e-05,9.319813287148024e-05,1.9713321905985738e-35,0.17261120308023026,4.423026000369109e-05,adam,22.0,
5.153898151627177,2.1309506768007195e-05,9.326984344705019e-05,2.003684193716727e-35,0.17179267451267785,3.3368966263871375e-05,adam,23.0,
5.124172124543478,2.2007202241557307e-05,8.830270747328263e-05,1.9895241887667216e-35,0.1708019807701366,2.3915296653563853e-05,adam,24.0,
5.086248419288292,2.2818276815927372e-05,7.716896551831605e-05,2.1701318428044612e-35,0.16953822764176524,1.602793000968226e-05,adam,25.0,
5.011200761059134,2.3527460191032064e-05,6.111895873483645e-05,2.4563600152522847e-35,0.16703717148132888,9.702003411538755e-06,adam,26.0,
4.975776234592009,2.459778553210064e-05,4.3690155410978164e-05,2.5424532215065093e-35,0.1658569151676115,4.916227211523778e-06,adam,27.0,
4.880305794871235,2.5946659732438864e-05,2.7238725479949314e-05,3.1667629732056293e-35,0.16267508128492955,1.7093813619577183e-06,adam,28.0,
4.812628024941683,3.0275608170474194e-05,1.3410281614970022e-05,3.866906216464997e-35,0.16041947744908425,1.5579369653724087e-07,adam,29.0,
4.770973022981431,3.940754271975752e-05,6.535320940598505e-06,4.5430129512387505e-35,0.1590309018924875,2.33431454413705e-07,adam,30.0,
4.722903658527619,4.9854935045676054e-05,7.918453242292655e-06,5.178118443055823e-35,0.1574281909735346,1.559332928979185e-06,adam,31.0,
4.654486756612319,6.811031169279585e-05,1.4271335310192983e-05,5.661067946102458e-35,0.15514680175853435,3.222092856029312e-06,adam,32.0,
4.613869802389294,9.420362109962142e-05,2.1561956726379464e-05,6.277327912487147e-35,0.15379178761319703,4.084155567924514e-06,adam,33.0,
4.539303792531567,0.00012308248465814592,2.5213334324375832e-05,7.55581437635108e-35,0.15130517168447188,3.461784271389832e-06,adam,34.0,
4.461265975993642,0.00014801010225531716,2.5096055958836538e-05,8.730029789319673e-35,0.1487030898615142,1.7399000240480703e-06,adam,35.0,
4.367115592935876,0.0001684962276040058,2.5673446925966365e-05,9.798920908454589e-35,0.14556404671460024,2.182333848828064e-07,adam,36.0,
4.246265533133489,0.00017432822851608533,3.358722464145092e-05,1.151104253635946e-34,0.14153525279620996,3.3794032849350987e-07,adam,37.0,
4.147472128534155,0.0001688195749280265,4.8840452884804406e-05,1.2787572977623625e-34,0.13824180593264365,2.905270330540608e-06,adam,38.0,
4.1490652113974145,0.00014832620533149988,7.18176894977009e-05,1.5999061159889342e-34,0.13829480973810823,7.753593389529279e-06,adam,39.0,
3.9705421376791334,0.0001183824801935231,9.8524518425268e-05,2.190865682362005e-34,0.13234412796850997,1.3916252154381963e-05,adam,40.0,
3.8698791442879403,9.636562543628203e-05,0.00011992557054063146,2.607648959389555e-34,0.12898869604204094,1.9718307352526232e-05,adam,41.0,
3.7399202552603734,8.184646181385525e-05,0.0001364447761437993,3.2393539811485686e-34,0.12465665365519905,2.354366444183107e-05,adam,42.0,
3.5639604943279055,9.762667688388324e-05,0.00015296104265648695,3.6977854932234927e-34,0.11879024842178935,2.4539546844114418e-05,adam,43.0,
3.4211194605366093,0.00014694834910878232,0.00018154981272741792,4.524731663094763e-34,0.11402628850472712,2.3072329594612808e-05,adam,44.0,
3.407653311591252,0.00026706061499454895,0.00022336837088331909,5.283066578697236e-34,0.11357202671330532,2.0812062142799455e-05,adam,45.0,
3.2594329740895027,0.000502946257812916,0.0002970730298112001,6.051753367750792e-34,0.10862103087281175,2.028617525983306e-05,adam,46.0,
3.080986476446139,0.0007647051603119062,0.0003573971313740354,7.142070457517016e-34,0.10266207145371184,2.2305430983336907e-05,adam,47.0,
2.934249368649912,0.0008713555447536807,0.00042528786019347444,7.993572234179223e-34,0.09776500413691035,2.6011376542444928e-05,adam,48.0,
2.8998038226105796,0.0006436805372922412,0.0005341154942799213,9.528779141098899e-34,0.09662077196050109,2.867763974688281e-05,adam,49.0,
2.742645250641798,0.0003816387480868768,0.0006111583179487268,9.850650183054614e-34,0.09138831726273068,2.9356938423591318e-05,adam,50.0,
