phase,step,loss_total,loss_rx,loss_ry,loss_continuity,loss_boundary,loss_pressure_ref
Adam,0,0.5357370972633362,4.1824125219136477e-05,1.287913278247288e-06,0.0,0.05356791242957115,1.4901161193847656e-05
Adam,1,0.5180761218070984,3.159465632052161e-05,5.734443675464718e-06,0.0,0.05180304870009422,8.344650268554688e-06
Adam,2,0.5017562508583069,2.3826692995498888e-05,1.731037991703488e-05,0.0,0.05017096549272537,5.4836273193359375e-06
Adam,3,0.48659172654151917,1.786892426025588e-05,3.4393549867672846e-05,0.0,0.04865354672074318,3.993511199951172e-06
Adam,4,0.47250792384147644,1.35442733153468e-05,5.550801506615244e-05,0.0,0.04724357649683952,3.0994415283203125e-06
Adam,5,0.4595412313938141,1.0492301043996122e-05,7.995991472853348e-05,0.0,0.045944809913635254,2.682209014892578e-06
Adam,6,0.44783535599708557,8.380126928386744e-06,0.00010717332042986527,0.0,0.044771719723939896,2.6226043701171875e-06
Adam,7,0.4376360774040222,6.966542969166767e-06,0.000136297574499622,0.0,0.04374900832772255,2.7418136596679688e-06
Adam,8,0.42926010489463806,6.092405328672612e-06,0.00016590775339864194,0.0,0.04290851205587387,2.9802322387695312e-06
Adam,9,0.42301177978515625,5.6262970247189514e-06,0.00019377219723537564,0.0,0.042280927300453186,3.0994415283203125e-06
Adam,10,0.41904011368751526,5.4233310038398486e-06,0.00021684981766156852,0.0,0.0418814979493618,2.86102294921875e-06
Adam,11,0.4171595871448517,5.312037501425948e-06,0.0002315132733201608,0.0,0.04169207811355591,1.9669532775878906e-06
Adam,12,0.41672995686531067,5.126118594489526e-06,0.00023434034665115178,0.0,0.0416489839553833,6.556510925292969e-07
Adam,13,0.4167461395263672,4.75335127703147e-06,0.00022359199647326022,0.0,0.04165177419781685,5.960464477539063e-08
Adam,14,0.4161795973777771,4.2028664211102296e-06,0.00020044986740686,0.0,0.04159730300307274,1.9073486328125e-06
Adam,15,0.4143628478050232,3.584575551940361e-06,0.00016886247613001615,0.0,0.041418273001909256,7.68899917602539e-06
Adam,16,0.41115233302116394,3.0206917926989263e-06,0.0001340444723609835,0.0,0.041099853813648224,1.6748905181884766e-05
Adam,17,0.40683671832084656,2.5842189188551856e-06,0.00010075282625621185,0.0,0.04067067429423332,2.664327621459961e-05
Adam,18,0.4019240736961365,2.2922993139218306e-06,7.222623389679939e-05,0.0,0.040181469172239304,3.4868717193603516e-05
Adam,19,0.3969336450099945,2.1258831566228764e-06,4.990646630176343e-05,0.0,0.0396842397749424,3.921985626220703e-05
Adam,20,0.3922545313835144,2.052593117696233e-06,3.37412602675613e-05,0.0,0.03921803459525108,3.838539123535156e-05
Adam,21,0.3880828320980072,2.042961114057107e-06,2.2773885575588793e-05,0.0,0.03880254551768303,3.254413604736328e-05
Adam,22,0.38442373275756836,2.0730017240566667e-06,1.5731739040347748e-05,0.0,0.03843828663229942,2.3066997528076172e-05
Adam,23,0.3811376392841339,2.1308421764842933e-06,1.142406472354196e-05,0.0,0.03811114281415939,1.2636184692382812e-05
Adam,24,0.37800371646881104,2.2109984456619713e-06,8.924579560698476e-06,0.0,0.037798840552568436,4.172325134277344e-06
Adam,25,0.3747841715812683,2.3134468847274547e-06,7.580780675198184e-06,0.0,0.037477411329746246,1.7881393432617188e-07
Adam,26,0.3712766170501709,2.4478435989294667e-06,6.9649695433327e-06,0.0,0.03712654858827591,1.7285346984863281e-06
Adam,27,0.36734992265701294,2.632045607242617e-06,6.770729669369757e-06,0.0,0.03673320263624191,8.463859558105469e-06
Adam,28,0.3629611134529114,2.892064912884962e-06,6.7588325691758655e-06,0.0,0.03629331663250923,1.8298625946044922e-05
Adam,29,0.3581526577472687,3.248596158300643e-06,6.727289928676328e-06,0.0,0.03581143543124199,2.8312206268310547e-05
Adam,30,0.353028267621994,3.701877403727849e-06,6.505870715045603e-06,0.0,0.03529822826385498,3.5762786865234375e-05
Adam,31,0.34771087765693665,4.2259453039150685e-06,5.990910267428262e-06,0.0,0.03476618602871895,3.88026237487793e-05
Adam,32,0.34229013323783875,4.796027951670112e-06,5.1871538744308054e-06,0.0,0.03422432020306587,3.695487976074219e-05
Adam,33,0.3367723822593689,5.473446890391642e-06,4.233693744026823e-06,0.0,0.033673178404569626,3.0875205993652344e-05
Adam,34,0.331058144569397,6.462573765020352e-06,3.385567652003374e-06,0.0,0.0331026092171669,2.2232532501220703e-05
Adam,35,0.3249751925468445,8.124113264784683e-06,2.921509576481185e-06,2.384185730786026e-11,0.032495107501745224,1.3053417205810547e-05
Adam,36,0.3183673620223999,1.0774326256068889e-05,3.044104460059316e-06,0.0,0.03183478116989136,5.7220458984375e-06
Adam,37,0.31118741631507874,1.4347576325235423e-05,3.8691996451234445e-06,0.0,0.031116802245378494,1.1920928955078125e-06
Adam,38,0.3035218417644501,1.8088436263496988e-05,5.51161747353035e-06,2.384185730786026e-11,0.030349822714924812,0.0
Adam,39,0.29551586508750916,2.076160853903275e-05,8.179783435480203e-06,2.384185730786026e-11,0.02954856865108013,1.2516975402832031e-06
Adam,40,0.2872520089149475,2.1495556211448275e-05,1.216230339196045e-05,4.768371461572052e-11,0.028721502050757408,3.337860107421875e-06
Adam,41,0.27867943048477173,2.0903777112835087e-05,1.7683481928543188e-05,2.145767175054658e-10,0.02786361239850521,4.708766937255859e-06
Adam,42,0.2697017788887024,2.1590827600448392e-05,2.471311017870903e-05,2.145767175054658e-10,0.02696508727967739,4.589557647705078e-06
Adam,43,0.2603638172149658,2.6768946554511786e-05,3.2864259992493317e-05,3.576278717609682e-10,0.026030108332633972,3.0994415283203125e-06
Adam,44,0.2508803904056549,3.617625043261796e-05,4.147741856286302e-05,1.1205673056124965e-09,0.025080135092139244,1.3709068298339844e-06
Adam,45,0.24145978689193726,4.47100137535017e-05,5.003976548323408e-05,1.6212462483622403e-09,0.024136485531926155,1.7881393432617188e-07
Adam,46,0.23224472999572754,5.101380156702362e-05,5.885722566745244e-05,2.0265578104528004e-09,0.023213474079966545,1.1920928955078125e-07
Adam,47,0.2235480099916458,6.596014281967655e-05,6.887481140438467e-05,2.241134611224993e-09,0.022341256961226463,5.960464477539062e-07
Adam,48,0.21605075895786285,0.00010099549399456009,8.012156467884779e-05,3.2424924967244806e-09,0.021586880087852478,8.344650268554688e-07
Adam,49,0.21011808514595032,0.000136170259793289,9.023542224895209e-05,3.6001204239966e-09,0.020989131182432175,3.5762786865234375e-07
Adam,50,0.2054961919784546,0.00013725658936891705,9.672097803559154e-05,4.1246415172224715e-09,0.020526215434074402,5.960464477539063e-08
Adam,51,0.2028162032365799,0.00013144583499524742,0.00010102929809363559,4.696846023222179e-09,0.0202582236379385,1.4901161193847656e-06
Adam,52,0.20262335240840912,0.00017474977357778698,0.00010485522216185927,5.865096852630813e-09,0.020233837887644768,5.364418029785156e-06
Adam,53,0.2038968801498413,0.0002231813414255157,0.00010550491424510255,5.412101433677208e-09,0.020355824381113052,9.953975677490234e-06
Adam,54,0.20602433383464813,0.00021445621678140014,9.969859092961997e-05,5.841255035221593e-09,0.02056979015469551,1.2278556823730469e-05
Adam,55,0.2078312635421753,0.0001830268302001059,8.631365199107677e-05,6.556510889765832e-09,0.020755093544721603,1.0967254638671875e-05
Adam,56,0.20907245576381683,0.0001599888055352494,6.790403858758509e-05,6.532669072356612e-09,0.020883651450276375,8.046627044677734e-06
Adam,57,0.20856423676013947,0.00014132967044133693,5.033104389440268e-05,6.175040923039887e-09,0.020836660638451576,5.9604644775390625e-06
Adam,58,0.20671790838241577,0.0001452490541851148,3.573171852622181e-05,5.650520051858621e-09,0.020653191953897476,5.0067901611328125e-06
Adam,59,0.20390692353248596,0.0002001014945562929,2.3197411792352796e-05,5.57899459963096e-09,0.020367925986647606,4.351139068603516e-06
Adam,60,0.2008899450302124,0.0002463937271386385,1.4199566066963598e-05,5.674361869267841e-09,0.020062541589140892,3.933906555175781e-06
Adam,61,0.19776314496994019,0.0002101429709000513,8.989238267531618e-06,5.7220459481754915e-09,0.01975398324429989,4.172325134277344e-06
Adam,62,0.19513703882694244,0.00013623313861899078,7.469367574231001e-06,5.1498409980865745e-09,0.019498921930789948,4.112720489501953e-06
Adam,63,0.1931462585926056,8.63249006215483e-05,9.661412150308024e-06,4.291534239087014e-09,0.019304728135466576,2.9802322387695312e-06
Adam,64,0.1918061077594757,6.570383993675932e-05,1.4137411199044436e-05,4.00543198608716e-09,0.01917249523103237,1.3113021850585938e-06
Adam,65,0.19090837240219116,6.100055907154456e-05,1.904051168821752e-05,3.8862228990410586e-09,0.019082803279161453,2.980232238769531e-07
Adam,66,0.19034668803215027,6.38369529042393e-05,2.3660135411773808e-05,3.838538820133408e-09,0.01902591809630394,0.0
Adam,67,0.19004739820957184,6.914274854352698e-05,2.8309415938565508e-05,3.4093856626782326e-09,0.01899494044482708,5.364418029785156e-07
Adam,68,0.1897694170475006,6.811868661316112e-05,3.310728061478585e-05,3.5524367891781594e-09,0.018966617062687874,2.0265579223632812e-06
Adam,69,0.18943658471107483,5.2297495130915195e-05,3.7519788747886196e-05,3.433227480087453e-09,0.018934329971671104,3.4570693969726562e-06
Adam,70,0.18891122937202454,2.7967356800218113e-05,4.12475346820429e-05,3.3140181709967464e-09,0.018883807584643364,3.933906555175781e-06
Adam,71,0.18825940787792206,1.061065177054843e-05,4.512762825470418e-05,3.528594971768939e-09,0.01882002130150795,3.4570693969726562e-06
Adam,72,0.1874181479215622,4.566717052512104e-06,4.947774141328409e-05,4.0292738034963804e-09,0.01873611845076084,2.9206275939941406e-06
Adam,73,0.18641437590122223,4.094910309504485e-06,5.388731733546592e-05,4.00543198608716e-09,0.01863541267812252,2.2649765014648438e-06
Adam,74,0.18526197969913483,4.984020961273927e-06,5.799159771413542e-05,4.076957438314821e-09,0.018519746139645576,1.5497207641601562e-06
Adam,75,0.184037983417511,6.130099336587591e-06,6.1659979110118e-05,4.076957438314821e-09,0.018396934494376183,8.344650268554688e-07
Adam,76,0.18281182646751404,7.316422397707356e-06,6.533024134114385e-05,4.529952857268427e-09,0.018273863941431046,5.364418029785156e-07
Adam,77,0.18161441385746002,8.99119368114043e-06,6.975474389037117e-05,4.8398969276775006e-09,0.01815352961421013,3.5762786865234375e-07
Adam,78,0.18048642575740814,1.3234352991275955e-05,7.372922846116126e-05,5.125999180677354e-09,0.01803993433713913,1.1920928955078125e-07
