phase,step,loss_total,loss_rx,loss_ry,loss_continuity,loss_boundary,loss_pressure_ref
Adam,0,0.5341467261314392,9.216579928761348e-05,7.175350219768006e-06,0.0,0.05339989438652992,4.839897155761719e-05
Adam,1,0.5163295269012451,6.505734927486628e-05,5.057716407463886e-06,0.0,0.0516258105635643,1.3113021850585938e-06
Adam,2,0.5000458359718323,4.275510218576528e-05,2.2819924197392538e-05,0.0,0.04999684914946556,1.1742115020751953e-05
Adam,3,0.48507341742515564,2.6953695851261728e-05,5.451886681839824e-05,0.0,0.04849516972899437,4.023313522338867e-05
Adam,4,0.4712978005409241,1.6496014723088592e-05,9.606149251339957e-05,0.0,0.04711231216788292,6.210803985595703e-05
Adam,5,0.4587644934654236,9.829902410274372e-06,0.00014546961756423116,0.0,0.04585371911525726,7.200241088867188e-05
Adam,6,0.4476524889469147,5.705904641217785e-06,0.0002013703779084608,0.0,0.04473743215203285,7.110834121704102e-05
Adam,7,0.43824177980422974,3.235888470953796e-06,0.0002618946600705385,0.0,0.043791450560092926,6.216764450073242e-05
Adam,8,0.43084916472435,1.8256187104270793e-06,0.0003233132010791451,0.0,0.04304761067032814,4.792213439941406e-05
Adam,9,0.4257066249847412,1.065587980519922e-06,0.0003784403670579195,0.0,0.0425296314060688,3.081560134887695e-05
Adam,10,0.42279255390167236,6.749391445737274e-07,0.0004161813703831285,0.0,0.04223617538809776,1.3947486877441406e-05
Adam,11,0.4216810464859009,4.768133123889129e-07,0.0004240891430526972,0.0,0.042125433683395386,2.1457672119140625e-06
Adam,12,0.4215364456176758,3.69429585589387e-07,0.0003942715411540121,0.0,0.042114026844501495,1.5497207641601562e-06
Adam,13,0.42134320735931396,2.963781184917025e-07,0.000329330941895023,0.0,0.04209962487220764,1.7344951629638672e-05
Adam,14,0.42026421427726746,2.313137059672954e-07,0.00024307353305630386,0.0,0.041997168213129044,4.9233436584472656e-05
Adam,15,0.41789406538009644,1.940965574931397e-07,0.00015481779701076448,0.0,0.041764918714761734,8.988380432128906e-05
Adam,16,0.41428443789482117,2.574443840330787e-07,8.160240395227447e-05,0.0,0.0414075031876564,0.00012755393981933594
Adam,17,0.4098000228404999,5.642890528179123e-07,3.300361640867777e-05,0.0,0.040961477905511856,0.00015169382095336914
Adam,18,0.40492236614227295,1.2948751191288466e-06,1.0008478056988679e-05,0.0,0.040475551038980484,0.00015556812286376953
Adam,19,0.4000879228115082,2.628087941047852e-06,7.210373496491229e-06,0.0,0.039993975311517715,0.00013834238052368164
Adam,20,0.3955915868282318,4.681587142840726e-06,1.6375803170376457e-05,0.0,0.039546556770801544,0.00010496377944946289
