phase,step,loss_total,loss_rx,loss_ry,loss_continuity,loss_boundary,loss_pressure_ref
Adam,0,0.524217426776886,1.4689397175970953e-05,7.223892225738382e-06,0.0,0.0524195171892643,2.980232238769531e-07
Adam,1,0.5121447443962097,1.4734911928826477e-05,6.36901859252248e-06,0.0,0.05121235176920891,1.1920928955078125e-07
Adam,2,0.50077885389328,1.4987420399847906e-05,5.412602149590384e-06,0.0,0.050075847655534744,0.0
Adam,3,0.48998987674713135,1.556394090584945e-05,4.300737145968014e-06,0.0,0.04899698868393898,1.1920928955078125e-07
Adam,4,0.4797224998474121,1.624894139240496e-05,3.2014131647883914e-06,0.0,0.04797026142477989,4.172325134277344e-07
Adam,5,0.46997562050819397,1.6621397662675008e-05,2.625346041895682e-06,0.0,0.046995554119348526,8.344650268554688e-07
Adam,6,0.460814893245697,1.6404961570515297e-05,3.0699968647240894e-06,0.0,0.04607941210269928,1.3113021850585938e-06
Adam,7,0.4523763060569763,1.558349140395876e-05,4.931592684442876e-06,0.0,0.04523540660738945,1.7285346984863281e-06
Adam,8,0.44484421610832214,1.4216756426321808e-05,8.408808753301855e-06,0.0,0.044481970369815826,1.9073486328125e-06
Adam,9,0.43840786814689636,1.2318491826590616e-05,1.3411283362074755e-05,0.0,0.04383804649114609,1.6689300537109375e-06
Adam,10,0.4332076907157898,9.896444680634886e-06,1.9545841496437788e-05,0.0,0.04331771656870842,1.0728836059570312e-06
Adam,11,0.42927733063697815,7.119703241187381e-06,2.6093768610735424e-05,0.0,0.04292437806725502,3.5762786865234375e-07
Adam,12,0.4264925718307495,4.452514531294582e-06,3.192124131601304e-05,0.0,0.042645618319511414,0.0
Adam,13,0.4245564937591553,2.641773107825429e-06,3.5615754313766956e-05,0.0,0.04245178773999214,3.5762786865234375e-07
Adam,14,0.42304956912994385,2.403807684459025e-06,3.603219738579355e-05,0.0,0.0423009879887104,1.2516975402832031e-06
Adam,15,0.4215342402458191,3.9918422771734186e-06,3.2912848837440833e-05,0.0,0.04214952141046524,2.1457672119140625e-06
Adam,16,0.4196672737598419,6.946468147361884e-06,2.716140625125263e-05,0.0,0.04196307435631752,2.4437904357910156e-06
Adam,17,0.41726431250572205,1.0252213542116806e-05,2.0521425540209748e-05,0.0,0.04172314330935478,2.086162567138672e-06
