phase,step,loss_total,loss_rx,loss_ry,loss_continuity,loss_boundary,loss_pressure_ref
Adam,0,0.5482117533683777,7.007169642747613e-06,1.9169331153534586e-06,0.0,0.054769571870565414,0.000507056713104248
Adam,1,0.5389091372489929,5.781197614851408e-06,6.210803604744797e-08,0.0,0.05388445779681206,5.8650970458984375e-05
Adam,2,0.5301905870437622,4.891895969194593e-06,8.627653187431861e-07,0.0,0.053016796708106995,1.6808509826660156e-05
Adam,3,0.5207372903823853,4.066538622282678e-06,3.4523247904871823e-06,0.0,0.05206083133816719,0.0001214146614074707
Adam,4,0.5095018148422241,3.2818315958138555e-06,7.6090573202236556e-06,0.0,0.05093192681670189,0.0001716017723083496
Adam,5,0.49579301476478577,2.593517137938761e-06,1.3298726116772741e-05,0.0,0.049563560634851456,0.00014144182205200195
Adam,6,0.47921666502952576,2.038669435933116e-06,2.061147642962169e-05,0.0,0.0479116328060627,7.76052474975586e-05
Adam,7,0.4596017897129059,1.7210721807714435e-06,2.9513119443436153e-05,0.0,0.045954711735248566,2.3365020751953125e-05
Adam,8,0.43703511357307434,1.8477439880371094e-06,3.9666436350671574e-05,0.0,0.04369930922985077,4.172325134277344e-07
Adam,9,0.41199105978012085,2.85804253508104e-06,5.033204433857463e-05,0.0,0.041192807257175446,9.715557098388672e-06
Adam,10,0.38554972410202026,5.65979462407995e-06,6.054773257346824e-05,0.0,0.03854462876915932,3.713369369506836e-05
Adam,11,0.3596702516078949,1.2073159268766176e-05,7.003235805314034e-05,0.0,0.035952404141426086,6.401538848876953e-05
Adam,12,0.3373650312423706,2.5524115699226968e-05,8.110258204396814e-05,0.0,0.03371816501021385,7.665157318115234e-05
Adam,13,0.3223053514957428,5.146918192622252e-05,0.00010106441914103925,0.0,0.03220818564295769,7.086992263793945e-05
Adam,14,0.31683874130249023,9.582300117472187e-05,0.00014013171312399209,0.0,0.031655240803956985,5.030632019042969e-05
Adam,15,0.31812626123428345,0.00015974004054442048,0.0001964563998626545,0.0,0.0317746065557003,2.390146255493164e-05
Adam,16,0.31775540113449097,0.0002332741132704541,0.00024085304175969213,0.0,0.031727708876132965,4.112720489501953e-06
Adam,17,0.309457927942276,0.00029623936279676855,0.00024224197841249406,0.0,0.030891789123415947,1.4901161193847656e-06
Adam,18,0.29399341344833374,0.00033006322337314487,0.00020555595983751118,0.0,0.029343709349632263,2.0623207092285156e-05
Adam,19,0.27625566720962524,0.0003294545167591423,0.00016199416131712496,0.0,0.0275705736130476,5.841255187988281e-05
Adam,20,0.26100608706474304,0.00030350976157933474,0.00013637640222441405,0.0,0.02604634314775467,0.00010269880294799805
Adam,21,0.25053152441978455,0.00026746097137220204,0.0001306643389398232,0.0,0.02499985322356224,0.0001347661018371582
Adam,22,0.24439160525798798,0.00023410259746015072,0.0001334385306108743,0.0,0.024388505145907402,0.00013893842697143555
Adam,23,0.24052968621253967,0.00021022307919338346,0.00013575136836152524,0.0,0.02400710992515087,0.0001125335693359375
Adam,24,0.23665840923786163,0.0001978906075237319,0.0001353925181319937,0.0,0.023625746369361877,6.759166717529297e-05
