phase,step,loss_total,loss_rx,loss_ry,loss_continuity,loss_boundary,loss_pressure_ref
Adam,0,0.5482116937637329,6.9789648478035815e-06,1.920175463965279e-06,0.0,0.054769571870565414,0.000507056713104248
Adam,1,0.5389091968536377,5.8217524383508135e-06,5.7125088659404355e-08,0.0,0.05388445779681206,5.8650970458984375e-05
Adam,2,0.5301907062530518,4.982971859135432e-06,8.781432825344382e-07,0.0,0.053016796708106995,1.6868114471435547e-05
Adam,3,0.5207374691963196,4.202628133498365e-06,3.5276411836093757e-06,0.0,0.052060820162296295,0.0001214742660522461
Adam,4,0.5095018744468689,3.4653185139177367e-06,7.809734597685747e-06,0.0,0.0509319007396698,0.00017154216766357422
Adam,5,0.4957933723926544,2.8222084438311867e-06,1.3729238162341062e-05,0.0,0.04956353083252907,0.00014144182205200195
Adam,6,0.47921738028526306,2.293968236699584e-06,2.1416997697087936e-05,0.0,0.047911595553159714,7.76052474975586e-05
Adam,7,0.4596029222011566,1.9460915154922986e-06,3.089201345574111e-05,0.0,0.045954667031764984,2.3305416107177734e-05
Adam,8,0.43703678250312805,1.9284009340481134e-06,4.185538273304701e-05,0.0,0.043699249625205994,4.172325134277344e-07
Adam,9,0.4119933247566223,2.5674103198980447e-06,5.3575538913719356e-05,0.0,0.041192736476659775,9.715557098388672e-06
Adam,10,0.38555222749710083,4.588532192428829e-06,6.50223737466149e-05,0.0,0.03854453191161156,3.719329833984375e-05
Adam,11,0.35967230796813965,9.549069545755628e-06,7.57060042815283e-05,0.0,0.035952288657426834,6.407499313354492e-05
Adam,12,0.33736544847488403,2.0594930902007036e-05,8.757149771554396e-05,0.0,0.033718038350343704,7.683038711547852e-05
Adam,13,0.3223031759262085,4.3285155697958544e-05,0.00010732623923104256,0.0,0.03220812976360321,7.11679458618164e-05
Adam,14,0.3168347179889679,8.481266559101641e-05,0.0001445531379431486,0.0,0.031655460596084595,5.066394805908203e-05
Adam,15,0.3181227147579193,0.0001484771928517148,0.00019713235087692738,0.0,0.031775280833244324,2.4199485778808594e-05
Adam,16,0.3177510201931,0.0002240287431050092,0.000236465159105137,0.0,0.03172861784696579,4.231929779052734e-06
Adam,17,0.30944594740867615,0.0002876650542020798,0.00023285714269150048,0.0,0.030892388895154,1.430511474609375e-06
Adam,18,0.2939680814743042,0.0003181944484822452,0.0001928211422637105,0.0,0.02934362180531025,2.0742416381835938e-05
Adam,19,0.2762162387371063,0.00031108432449400425,0.00014828371058683842,0.0,0.027569763362407684,5.91278076171875e-05
Adam,20,0.26095542311668396,0.0002777749905362725,0.00012372207129374146,0.0,0.026044948026537895,0.00010436773300170898
Adam,21,0.2504740059375763,0.0002353158633923158,0.00012034356041112915,0.0,0.024998052045702934,0.00013774633407592773
Adam,22,0.24432975053787231,0.00019691698253154755,0.000125877108075656,0.0,0.02438637800514698,0.0001431107521057129
Adam,23,0.24046297371387482,0.00016880518523976207,0.00013070237764623016,0.0,0.02400461956858635,0.00011718273162841797
Adam,24,0.23658394813537598,0.00015221655485220253,0.00013229870819486678,0.0,0.023622766137123108,7.170438766479492e-05
Adam,25,0.23105454444885254,0.0001464945962652564,0.0001321681193076074,0.0,0.023074880242347717,2.7000904083251953e-05
Adam,26,0.22317984700202942,0.00015106236969586462,0.00013311557995621115,0.0,0.02228936180472374,1.9669532775878906e-06
Adam,27,0.2131987363100052,0.0001662121940171346,0.00013837248843628913,2.384185730786026e-11,0.02128881774842739,5.900859832763672e-06
