y_at_x_0_5,u_centerline,x_at_y_0_5,v_centerline
0.0,0.0003890721,0.0,0.007923614
0.010101010101010102,0.00021657068,0.010101010101010102,0.010567345
0.020202020202020204,4.9656257e-05,0.020202020202020204,0.013142396
0.030303030303030304,-0.00011200737,0.030303030303030304,0.015645977
0.04040404040404041,-0.00026876573,0.04040404040404041,0.018075574
0.05050505050505051,-0.00042100064,0.05050505050505051,0.020429086
0.06060606060606061,-0.0005690651,0.06060606060606061,0.022705065
0.07070707070707072,-0.0007133493,0.07070707070707072,0.02490215
0.08080808080808081,-0.0008542789,0.08080808080808081,0.027019221
0.09090909090909091,-0.0009922581,0.09090909090909091,0.0290557
0.10101010101010102,-0.001127759,0.10101010101010102,0.03101133
0.11111111111111112,-0.0012611914,0.11111111111111112,0.032886334
0.12121212121212122,-0.0013931124,0.12121212121212122,0.034681194
0.13131313131313133,-0.0015239911,0.13131313131313133,0.0363968
0.14141414141414144,-0.0016543297,0.14141414141414144,0.0380344
0.15151515151515152,-0.0017847074,0.15151515151515152,0.039595556
0.16161616161616163,-0.0019157035,0.16161616161616163,0.041082148
0.17171717171717174,-0.0020479346,0.17171717171717174,0.04249629
0.18181818181818182,-0.0021819854,0.18181818181818182,0.04384043
0.19191919191919193,-0.0023185592,0.19191919191919193,0.045117136
0.20202020202020204,-0.0024583512,0.20202020202020204,0.04632928
0.21212121212121213,-0.0026021115,0.21212121212121213,0.047479548
0.22222222222222224,-0.0027505113,0.22222222222222224,0.048571113
0.23232323232323235,-0.0029037301,0.23232323232323235,0.049607284
0.24242424242424243,-0.00306247,0.24242424242424243,0.050591543
0.25252525252525254,-0.0032275473,0.25252525252525254,0.051527355
0.26262626262626265,-0.003399827,0.26262626262626265,0.05241989
0.27272727272727276,-0.003580206,0.27272727272727276,0.05327347
0.2828282828282829,-0.0037697055,0.2828282828282829,0.05409132
0.29292929292929293,-0.0039692926,0.29292929292929293,0.054876383
0.30303030303030304,-0.0041801245,0.30303030303030304,0.055631533
0.31313131313131315,-0.0044033616,0.31313131313131315,0.056359388
0.32323232323232326,-0.004640219,0.32323232323232326,0.05706238
0.33333333333333337,-0.0048917052,0.33333333333333337,0.057742637
0.3434343434343435,-0.0051640524,0.3434343434343435,0.05840023
0.3535353535353536,-0.0054638693,0.3535353535353536,0.059033483
0.36363636363636365,-0.0057919924,0.36363636363636365,0.05964143
0.37373737373737376,-0.0061500333,0.37373737373737376,0.0602229
0.38383838383838387,-0.006540266,0.38383838383838387,0.06077642
0.393939393939394,-0.006964998,0.393939393939394,0.061300367
0.4040404040404041,-0.0074260966,0.4040404040404041,0.06179279
0.4141414141414142,-0.007926267,0.4141414141414142,0.06225167
0.42424242424242425,-0.008468471,0.42424242424242425,0.062674694
0.43434343434343436,-0.009055939,0.43434343434343436,0.063059464
0.4444444444444445,-0.009692127,0.4444444444444445,0.06340344
0.4545454545454546,-0.010380786,0.4545454545454546,0.06370389
0.4646464646464647,-0.011126387,0.4646464646464647,0.063957974
0.4747474747474748,-0.011933777,0.4747474747474748,0.06416282
0.48484848484848486,-0.01280777,0.48484848484848486,0.06431545
0.494949494949495,-0.013753534,0.494949494949495,0.06441292
0.5050505050505051,-0.014776728,0.5050505050505051,0.06445214
0.5151515151515152,-0.015883379,0.5151515151515152,0.06443013
0.5252525252525253,-0.017075991,0.5252525252525253,0.06434391
0.5353535353535354,-0.018354436,0.5353535353535354,0.06419059
0.5454545454545455,-0.019724192,0.5454545454545455,0.06396667
0.5555555555555556,-0.021190796,0.5555555555555556,0.06366923
0.5656565656565657,-0.022751598,0.5656565656565657,0.06329557
0.5757575757575758,-0.024407191,0.5757575757575758,0.06284318
0.5858585858585859,-0.026164865,0.5858585858585859,0.06230987
0.595959595959596,-0.02803004,0.595959595959596,0.061693482
0.6060606060606061,-0.030008713,0.6060606060606061,0.06099221
0.6161616161616162,-0.032106683,0.6161616161616162,0.06020456
0.6262626262626263,-0.034329243,0.6262626262626263,0.059329547
0.6363636363636365,-0.036681738,0.6363636363636365,0.058366373
0.6464646464646465,-0.039169557,0.6464646464646465,0.0573145
0.6565656565656566,-0.041797794,0.6565656565656566,0.056173846
0.6666666666666667,-0.04457122,0.6666666666666667,0.054944724
0.6767676767676768,-0.0474941,0.6767676767676768,0.053627864
0.686868686868687,-0.050569806,0.686868686868687,0.052224465
0.696969696969697,-0.053801186,0.696969696969697,0.05073636
0.7070707070707072,-0.057108752,0.7070707070707072,0.049165986
0.7171717171717172,-0.060186833,0.7171717171717172,0.047516022
0.7272727272727273,-0.06295262,0.7272727272727273,0.04579012
0.7373737373737375,-0.06533864,0.7373737373737375,0.04399253
0.7474747474747475,-0.06726531,0.7474747474747475,0.042154983
0.7575757575757577,-0.06844501,0.7575757575757577,0.04032045
0.7676767676767677,-0.06851032,0.7676767676767677,0.03849406
0.7777777777777778,-0.06728631,0.7777777777777778,0.036680423
0.787878787878788,-0.06450763,0.787878787878788,0.03488391
0.797979797979798,-0.05983602,0.797979797979798,0.033108443
0.8080808080808082,-0.05300833,0.8080808080808082,0.031357735
0.8181818181818182,-0.043740563,0.8181818181818182,0.029635433
0.8282828282828284,-0.03172993,0.8282828282828284,0.027945291
0.8383838383838385,-0.016652677,0.8383838383838385,0.026290294
0.8484848484848485,0.001836732,0.8484848484848485,0.024674024
0.8585858585858587,0.024107864,0.8585858585858587,0.023099057
0.8686868686868687,0.050554387,0.8686868686868687,0.021567483
0.8787878787878789,0.081587784,0.8787878787878789,0.020080954
0.888888888888889,0.11763668,0.888888888888889,0.01864082
0.8989898989898991,0.1591516,0.8989898989898991,0.01724839
0.9090909090909092,0.2066013,0.9090909090909092,0.015905045
0.9191919191919192,0.26046306,0.9191919191919192,0.01461147
0.9292929292929294,0.3212255,0.9292929292929294,0.013368116
0.9393939393939394,0.38938674,0.9393939393939394,0.012180768
0.9494949494949496,0.4654574,0.9494949494949496,0.011054202
0.9595959595959597,0.5499575,0.9595959595959597,0.009990333
0.9696969696969697,0.64341074,0.9696969696969697,0.008990927
0.9797979797979799,0.746343,0.9797979797979799,0.0080566425
0.98989898989899,0.859279,0.98989898989899,0.007188228
1.0,0.98272854,1.0,0.006386242
